C_1_Force[kN];C_1_Deplacement[mm]
17.7084446;3.43009305
17.74659729;3.434373379
17.7784214;3.438360453
17.80405235;3.442201376
17.84863853;3.446530342
17.87647629;3.450484991
17.91901398;3.454667568
17.95344543;3.458768606
17.99683571;3.46308136
18.04009247;3.467296362
18.0819397;3.471495152
18.12572861;3.47577548
18.16786957;3.479892969
18.20809555;3.484124184
18.25026321;3.488339186
18.28581047;3.49242425
18.32191467;3.496443987
18.36041451;3.500756741
18.38646889;3.50454855
18.42411613;3.508698463
18.46896935;3.513011217
18.50284004;3.51707983
18.54070091;3.521213531
18.58066177;3.525444984
18.62362671;3.529627562
18.66845131;3.533874989
18.71205521;3.538057566
18.75860786;3.54245162
18.79415512;3.546520233
18.83738708;3.550686598
18.87431526;3.554836512
18.9139576;3.558921337
18.9510994;3.56298995
18.98874664;3.567156315
19.01815224;3.571062088
19.05314064;3.575098276
19.10501099;3.579606295
19.12981796;3.58344698
19.1793766;3.587824821
19.22183609;3.592072487
19.26362991;3.596401453
19.30513382;3.600567579
19.34873581;3.60486412
19.39707184;3.609193087
19.43548965;3.613294125
19.47648621;3.617427826
19.5200634;3.621675491
19.55848122;3.625841856
19.58879089;3.629731417
19.62529564;3.63380003
19.65797043;3.637754679
19.70080185;3.641904593
19.74177361;3.646136045
19.78045654;3.650269747
19.82448578;3.654517412
19.86660004;3.65878129
19.90512466;3.662914991
19.9546032;3.667227745
20.00038528;3.67145896
20.04348373;3.675853014
20.08121109;3.679921627
20.13066292;3.68415308
20.17407799;3.688384295
20.21031761;3.692436695
20.24421501;3.696424007
20.28611755;3.700655222
20.32129097;3.704723835
20.35104179;3.708613396
20.39682579;3.712828636
20.42928886;3.716864586
20.4787674;3.721193552
20.51439285;3.725311041
20.56296921;3.729591131
20.60750198;3.733887672
20.65551758;3.738167763
20.69872284;3.742399216
20.73916054;3.746500254
20.78768158;3.750813007
20.83000946;3.755093098
20.86680603;3.759129286
20.9014225;3.76305151
20.94475937;3.767347813
20.97153282;3.771172285
21.00891304;3.77517581
21.05839157;3.779472351
21.09550858;3.783622265
21.13932419;3.787755966
21.18140984;3.791889668
21.22711372;3.796153545
21.27414703;3.800433636
21.31777573;3.804616213
21.36778641;3.808945179
21.40915489;3.813127756
21.45204163;3.817375422
21.49628258;3.821574211
21.52837181;3.825512648
21.57365036;3.829695225
21.61549759;3.833894014
21.64687157;3.837799788
21.6778717;3.841770649
21.729105;3.846099615
21.75944138;3.850038052
21.80793571;3.85431838
21.85068703;3.858533382
21.89894295;3.862878561
21.94741058;3.867093801
21.98846245;3.871243715
22.03791428;3.875540257
22.07476425;3.879641294
22.12317848;3.883856297
22.16279411;3.88794136
22.20352554;3.892107487
22.2391243;3.896159887
22.28163719;3.900391102
22.30644417;3.904134274
22.3516407;3.908349276
22.40593338;3.912841082
22.4411335;3.916844606
22.48622513;3.921141148
22.52924347;3.925388575
22.57454872;3.929603815
22.61785889;3.933786154
22.66762924;3.93805027
22.71774673;3.942444324
22.75324059;3.94652915
22.79976654;3.950630188
22.8418541;3.954877853
22.88484573;3.95897913
22.92166901;3.962982655
22.96157646;3.967099905
23.00087166;3.97126627
23.03636551;3.975302219
23.08190918;3.979582548
23.12024879;3.983537197
23.16752052;3.987915039
23.20934105;3.992064953
23.25445938;3.996296406
23.30040169;4.000527859
23.34546661;4.004758835
23.39125061;4.009022713
23.43503952;4.01304245
23.4785881;4.01725769
23.52836037;4.021537781
23.56887817;4.02557373
23.59546471;4.029382229
23.6434288;4.033727646
23.67427063;4.037568092
23.71481514;4.041685581
23.75719452;4.045884609
23.80422783;4.050099373
23.85062218;4.054396152
23.89393234;4.058578491
23.93655205;4.062744617
23.98765182;4.067106247
24.03495026;4.071321487
24.08408356;4.075650215
24.12268829;4.079751492
24.1697197;4.083901405
24.21545029;4.088132858
24.24796677;4.092038631
24.28715515;4.096042156
24.32724953;4.100159645
24.36136055;4.10416317
24.3925457;4.108101368
24.44782066;4.112495422
24.48831367;4.116596699
24.53444099;4.120893002
24.57562447;4.12501049
24.62967682;4.12937212
24.67814445;4.133717537
24.72100449;4.137965202
24.76824951;4.142179966
24.80810356;4.146313667
24.85893822;4.150610447
24.89982796;4.154874325
24.93984222;4.158828735
24.9756546;4.162816048
25.01891136;4.16711235
25.0476265;4.170953274
25.09372711;4.175086975
